name,price,url
Smartphone Samsung Galaxy A11 - 64 GB,1139.05,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a11-64-gb/p/ae58dd47dg/te/ga11/
Galaxy A01 Core Samsung - 32GB,632.7,https://www.magazineluiza.com.br/galaxy-a01-core-samsung-32gb/p/je9ecfjada/te/gx01/
"Smartphone Motorola One Hyper 128GB Tela 6,5"" - Snapdragon Octa-Core - Câm. Dupla 32 MP",1899.0,https://www.magazineluiza.com.br/smartphone-motorola-one-hyper-128gb-tela-65-snapdragon-octa-core-cam-dupla-32-mp/p/dh69868dfb/te/mthy/
Smartphone LG K61 128GB Titânio 4G Octa-Core,1259.1,https://www.magazineluiza.com.br/smartphone-lg-k61-128gb-titanio-4g-octa-core-4gb-ram-653-cam-quadrupla-selfie-16mp/p/155583000/te/lk61/
Smartphone Samsung Galaxy S20 FE 128GB Cloud Red,2609.1,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s20-fe-128gb-cloud-red-6gb-ram-tela-65-cam-tripla-selfie-32mp/p/155592100/te/gs2f/
"iPhone 12 Apple 64GB Azul 6,1” Câm. Dupla 12MP",6509.07,https://www.magazineluiza.com.br/iphone-12-apple-64gb-azul-61-cam-dupla-12mp-ios/p/155597900/te/ip12/
Smartphone Samsung Galaxy S21 128GB Branco 5G,5399.1,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s21-128gb-branco-5g-8gb-ram-tela-62-cam-tripla-selfie-10mp/p/155619300/te/gs21/
"Galaxy Note20 Ultra 256GB, 12 GB RAM - Samsung",5699.05,https://www.magazineluiza.com.br/galaxy-note20-ultra-256gb-12-gb-ram-samsung/p/ah5f3dfa03/te/galx/
Smartphone Motorola Moto E7 Plus 64GB Bronze Âmbar,1199.0,https://www.magazineluiza.com.br/smartphone-motorola-moto-e7-plus-64gb-bronze-ambar-4g-octa-core-4gb-ram-65-cam-dupla-selfie-8mp/p/155590700/te/me7p/
"Smartphone Motorola Moto E6S Tela 6,1"" - Helio P22 Octa-Core - Câm. Dupla 13 MP",899.0,https://www.magazineluiza.com.br/smartphone-motorola-moto-e6s-tela-61-helio-p22-octa-core-cam-dupla-13-mp/p/bf71g9406f/te/me6s/
Smartphone Motorola Moto E6S 32GB Pink 4G,809.1,https://www.magazineluiza.com.br/smartphone-motorola-moto-e6s-32gb-pink-4g-octa-core-2gb-ram-61-cam-dupla-selfie-5mp/p/155586800/te/me6s/
